Subject,Sigma,Alpha,MR,SWM,Bi
2,19.6019450836818,0.199266730037534,MR,SWM,Bimanual
3,16.4242178792813,0.0345795547086808,MR,SWM,Bimanual
4,27.6817822440259,0.646321610448569,MR,SWM,Bimanual
5,22.5856983768915,0.412841070817378,MR,SWM,Bimanual
6,61.143602798636,0.608004172357049,MR,SWM,Bimanual
7,48.0493900271144,0.236284487306755,MR,SWM,Bimanual
8,24.1365190003992,0.113185080360176,MR,SWM,Bimanual
9,14.8554355638843,0.382432293393076,MR,SWM,Bimanual
10,17.0931043225826,0.803685395944469,MR,SWM,Bimanual
11,15.2505932791131,0.474676665661274,MR,SWM,Bimanual
12,14.9116828469866,0.176429891609233,MR,SWM,Bimanual
13,10.357208988442,0.347165654510059,MR,SWM,Bimanual
14,22.1530709456234,0.242847379716923,MR,SWM,Bimanual
15,29.1060287953101,0.182232812376457,MR,SWM,Bimanual
16,22.2503128763211,0.135694454813797,MR,SWM,Bimanual
